keys,es,en,pt_BR
CU_TITLE,Cobre,Copper,Cobre
CU_DESC,Aumenta 30% de daño Electro además de añadir resistencia a la corrosión. La propiedad Aqua pierde 30% de efectividad.,Increases Electro damage by 30% and adds corrosion resistance. Aqua property loses 30% of effectiveness.,Aumenta em 30% o dano Electro e adiciona resistência a corrosão. Propriedades de Aqua perde em 30% a sua eficácia.
NA_TITLE,Sodio,Sodium,Sódio
NA_DESC,Si es sometida al calor desencadena la combustión del elemento. Se producen explosiones violentas usando Hierro+Sodio bajo el agua...,"If subjected to heat, it triggers the combustion of the element. Violent explosions are produced using Iron+Sodium under water.","Se exposto ao calor, causa a combustão do elemento. Explosões violentas são produzidas usando Ferro+Sódio embaixo d’água…"
P_TITLE,Fósforo,Phosphorus,Fósforo
P_DESC,Crea Fosfuro de Hierro. Libera una pequeña cantidad de calor al usar el látigo. Los ataques basados en Aqua y Frigo pierden 60% de efectividad.,Creates Iron Phosphide. Releases a small amount of heat when using the whip. Attacks based on Aqua and Frigo lose 60% effectiveness.,Cria o Fosfato de Ferro. Libera uma pequena porção de calor usando o chicote. Ataques baseados em Aqua e Frigo perdem 60% de eficácia.
N_TITLE,Nitrógeno,Nitrogen,Nitrogênio
N2_TITLE,Nitrógeno Líquido,Liquid Nitrogen,Nitrogênio líquido
N_DESC,"Crea Nitruro de Hierro que añade propiedades magnéticas. Pero debilita en 50% ataques basados en Electro, Pyro y Frigo.","Creates Iron Nitride. Adds magnetic properties. Attacks based on Electro, Pyro, and Frigo weaken by 50%.","Cria o Nitreto de Ferro que adiciona propriedades magnéticas mas diminui os ataques baseados em Electro, Pyro e Frigo em 50%"
N2_DESC,Disminuye la temperatura del Hierro. Debilita en 50% ataques basados en Pyro.,Decreases the temperature of Iron. Attacks based on Pyro weaken by 50%.,Diminui a temperatura do Ferro. Diminui o dano de ataques Pyro em 50%
O_TITLE,Oxígeno,Oxygen,Oxigênio
O_DESC,"Esparce polvo de óxido de hierro con cada ataque de látigo (gasta maná), este polvo es explosivo al entrar en contacto con Pyro.",Spreads Iron Oxide powder with each whip attack (spends mana). This powder is explosive when in contact with Pyro.,"Espalha pó de óxido de ferro a cada chicotada (gasta mana), este pó é explosivo quando entra em contato com Pyro."
C_TITLE,Carbono,Carbon,Carbono
C_DESC,"Aumenta la dureza del Hierro, esto permitirá destruir ciertos objetos con una dureza mayor al del Hierro natural.",Increases the hardness of Iron. This will allow you to destroy certain objects with a higher hardness than natural Iron.,"Aumenta a solidez do ferro, te permitindo destruir certos objetos com uma solidez maior que o ferro normal."
AR_TITLE,Argón,Argon,
AR_DESC,Material en forma de Gas que emite destellos púrpuras.,Gas material that emits purple sparkles.,
CS_TITLE,Cesio,Caesium,
CS_DESC,Produce una aleación de Cesioferro que permite atacar a enemigos con propiedades físicas [Intactilis].,Produces a Caesiferrum alloy that allows attacking enemies with physical properties [Intactilis].,
