keys,es,en,pt_BR
ABOUT_ALLOY,"Como alquimista de Hierro, Xandria puede usar otros elementos químicos para combinarlos con el hierro de su látigo, estas aleaciones pueden cambiar las propiedades elementales del látigo.","As an Iron alchemist, Xandria can use other chemical elements to combine with the iron whip. These alloys can change the elemental properties of the whip.","Como uma Alquimista de Ferro, Xandria pode usar outros elementos químicos para combinar com o chicote de ferro. Essas ligas podem mudar as propriedades elementais do chicote."
ABOUT_ACTION,"Los circuitos elementales de Acción proporcionan nuevos ataques alquímicos. Se activan presionando el botón de [Circuito E.], algunos requieren tiempo de carga (mantener el botón presionado), un gasto de maná o aleaciones específicas.","The Action elemental circuits provide new alchemical attacks. They are activated by pressing the [E. Circuit] button. Some require charging time (keep the button pressed), an expenditure of mana, or specific alloys.","Os circuitos elementais de Ação provém novos ataques alquímicos. São ativados ao pressionar o botão de [Circuito Elemental], alguns precisam de recarga (mantenha o botão pressionado),gasto de mana ou ligas específicas."
ABOUT_ABILITY,Este tipo de circuito elemental otorga habilidades pasivas.,This type of elemental circuit grants passive abilities.,Este tipo de circuito elemental concede habilidades passivas.
DODGE_DESC,Presiona [Esquivar] cuando estés caminando para rodar hacia adelante.,Press [Dodge] when walking to roll forward.,Pressione [Esquiva] enquanto anda para rolar para frente.
BLADE_WHIP_DESC,Manteniendo presionado arriba al momento de atacar fortalece el látigo con la sangre de los enemigos derrotados.,Holding Up when attacking strengthens the whip with the blood of defeated enemies.,"Segurando Arriba quando ataca, fortalece o chicote com o sangue dos inimigos abatidos."
BLOOD_CONTROL_DESC,Permite que alquimistas de [Hierro] manipulen cierta cantidad de sangre. Un misterioso poder obtenido en Transilvania.,Allows [Iron] alchemists to manipulate a certain amount of blood. A mysterious power obtained in Transylvania.,Permite Alquimistas de [Ferro] manipular uma certa quantidade de sangue. Um poder misterioso obtido na Transilvânia.
SLIDE_DESC,Estando en el suelo mantén ↓ + [Salto] para deslizarte.,"While on the ground, hold ↓ + [Jump] to slide.","No chão, segure ↓ + [Pulo] para deslizar"
SHURIKEN_DESC,Arroja estrellas ninja.,Throw Ninja Stars.,Lança Shurikens
KNIFES_DESC,Arroja Cuchillas hacia abajo.,Throw Knives downward.,Lança Lâminas para baixo
TORNADO_BLADES_DESC,Crea un pequeño tornado de cuchillas.,Creates a small tornado of blades.,Cria um pequeno tornado de lâminas
LANCEA_ARGENTEA,Alabarda Argentea,Argentea Halberd,Alabarda Argentea
LUX_TENEBRIS_DESC,Ilumina aquellos lugares rodeados de tinieblas.,Illuminates those places surrounded by darkness.,Ilumina os lugares escuros.
RUBRUS_DRACO_DESC,"Invoca al dragon de la familia Tepes. Gasta 20 de Sangre, la cantidad restante determinará daño adicional.",Summons the dragon of the Tepes family. Spend 20 Blood; the remaining amount will determine additional damage.,"Invoca o dragão da família Tepes. Gasta 20 de Sangue, a quantidade restante determinará o dano adicional."
PLUVIA_SANGRI_DESC,Deja caer una lluvia sangrienta sobre los enemigos en pantalla. Cada muerte otorgará 30 HP. La duración depende de cuanta sangre se haya acumulado.,Rain blood on the enemies on the screen. Each death grants 30 HP. The duration depends on how much blood has accumulated.,Produz uma chuva de sangue nos inimigos da tela. Concede 30 HP por cada morte. A duração depende de quanto Sangue acumulado.
LANCEA_ARGENTEA_DESC,Lanza en diagonal el arma de cierto alquimista de Plata.,Throw the weapon of a certain Silver alchemist diagonally.,Lança diagonalmente a arma de um certo Alquimista Prateado.
SANGRI_IMPALIA_DESC,Invoca el poder del Alquimista Empalador. Requiere 40 de Sangre. Cada herida infligida al enemigo aumenta el poder de la siguiente lanza.,Summons the power of the Impaler alchemist. Requires 40 Blood. All damage inflicted on the enemy increases the power of the next spear.,Invoca o poder do Alquimista Empalador. Requer 40 de Sangue. Cada dano infligido no inimigo aumenta o poder da próxima lança.
WHIP_CRUSH_DESC,Deja caer todo el poder del látigo carmesí con el comando [↑→↓ + Ataque]. Se requiere 100 de sangre.,Drop the full power of the crimson whip with the command [↑→↓ + Attack]. 100 Blood is required.,Libera o poder máximo do chicote carmesim com o comando [↑→↓ + Ataque]. Requer 100 de Sangue.
PERMETRI_CALORIS_DESC,Genera calor en el área durante algunos segundos.,Generates heat in the area for a few seconds.,Gera calor numa área por poucos segundos
HANDFAN_TITLE,Abanico de mano,Handfan,Leque de mão
HANDFAN_DESC,Arroja subarma con el comportamiento de un boomerang.,Cast sub-weapon like a boomerang.,Usa arma secundária como fosse um bumerangue
