"keys","es","en","pt_BR"
"MAKE_FAST_ATKS","Haz ataques rápidos con el botón [Ataque].","Make quick attacks with the [Attack] button.","Faz ataques rápidos com o botão de [Ataque]"
"EVADE_WITH_BACKDASH","Evade ataques enemigos con [Esquivar].","Avoid enemy attacks with [Dodge].","Desvia de ataques inimigos com [Esquiva]"
"USE_QUICKMENU","Al mantener presionado el botón [Menú rápido] podrás cambiar sets de equipamiento presionando [Backdash] o [Circuito E.].

Si presionas [Arriba] o [Abajo] cambiará la Subarma equipada.","By holding down the [Quick Menu] button you can change equipment sets by pressing [Backdash] or [E. Circuit].

Pressing [Up] or [Down] will change the equipped Subweapon.","Ao pressionar o botão de [Menu Rápido]. Você pode mudar o equipamento ao pressionar [Recuo] ou [Circuito Elemental].
Pressionando [Cima] ou [Baixo] mudará a arma secundária equipada"
"USE_QUICKMENU2","Mantén presionado el botón y desliza hacia el set de equipamiento que quieras usar. (Requiere Circuito de habilidad).

Si presionas [Arriba] o [Abajo] la subarma equipada cambiará.","Hold down the button and slide to the equipment set you want to use (Requires Skill Circuit).

If you press [Up] or [Down] the equipped subweapon will change.","Segure o botão e deslize para o conjunto de equipamento que quer usar (Requer Circuito de Habilidade). Se pressionar [Cima] ou [Baixo] a arma secundária mudará."
"USE_DODGE","Al presionar [Esquivar] mientras estés caminando te permite rodar hacia adelante para esquivar enemigos.

Este movimiento otorga algunos frames de invulnerabilidad y gastará [Estamina].","Pressing [Dodge] while walking allows you to roll forward to dodge enemies.

This move grants some invulnerability frames and will use [Stamina].","Pressionando [Esquiva] enquanto caminha te permite rolar para se esquivar dos inimigos. Esse movimento garante breve invulnerabilidade e usa [Vigor]."
"USE_WHIP_M","Fortalece el ataque del látigo con la sangre de los enemigos derrotados.","Strengthens the whip attack with the blood of defeated enemies.","Fortalece a chicotada com o sangue dos inimigos derrotados"
"HOWTO_ABSORB","Mantén presionado ↑ cuando estés cerca de un [Circuito Elemental] para obtener nuevos ataques o habilidades.","Press and hold ↑ when near an [Elemental Circuit] to get new attacks or abilities.","Pressione e segure ↑ próximo de um [Circuito Elemental] para conseguir novos ataques e habilidades."
"HOWTO_EQUIP","Presiona el botón [Pausa] para poder acceder al Inventario, Equipamiento y al sistema de Alquimia.","Press the [Pause] button to access the Inventory, Equipment and Alchemy system.","Pressione o botão de [Pausa] para acessar o Inventário, Equipamento e o Sistema de Alquimia."
"HOWTO_HIDEMINIMAP","Presiona ↓ + [Backdash] para mostrar u ocultar el minimapa en tiempo real.","Press ↓ + [Backdash] to show or hide the minimap in real time.","Pressione ↓ + [Recuo] para mostrar ou esconder o mini-mapa em tempo real."
"HOWTO_OPEN_MAPMENU","Desde el botón [Mapa] obtienes acceso al mapa general, lista de objetos clave, textos encontrados y otra información útil.","From the [Map] button you get access to the overview map, list of key objects, found texts and other useful information.","Do botão de [Mapa] você tem acesso ao mapa inteiro, lista de objetos chave, textos encontrados e outra informação útil."
"HOWTO_CHARGE_CIRCUIT","Cuando tengas equipado un Circuito Elemental de [Acción], mantén presionado el botón de [Circuito] durante el tiempo requerido para su uso.","When you have an Elemental Circuit [Action] equipped, keep the [Circuit] button pressed for the time required for its use.","Quando você tem um Circuito Elemental de [Ação] equipado, mantenha pressionado o botão de [Circuito] pelo tempo necessário de seu uso."
"USE_WHIP_M2","Este ataque requiere gasto de [Sangre] el cual se recupera atacando a enemigos con el látigo normal.","This attack requires spending [Blood] which is recovered by attacking enemies with the normal whip.","Este ataque exige gasto de [Sangue] que é recuperado ao atacar os inimigos com o chicote normal."
"HOWTO_EQUIP_CIRCUIT","Presiona [Pausa] y ve al sistema de [Alquimia] para equipar un circuito de [Acción].","Press [Pause] and go to the [Alchemy] system to equip an [Action] circuit.","Pressione [Pausa] e vá ao sistema de [Alquimia] para equipar um circuito de [Ação]"
"HOWTO_HIDEMINIMAP_B","Usando Joystick derecho hacia arriba/abajo puedes alejar un poco la mirada. (Solo con Gamepad).","Using the right Joystick up/down you can zoom out a bit (Gamepad only).","Se usar para cima ou para baixo no analógico direito, você pode dar um pequeno zoom (Apenas no Controle)"
"THROW_SUBWEAPON","Arroja armas secundarias con el botón [Subarma] (esto gastará maná).","Throw secondary weapons with [Subweapon] button (this will spend mana).","Lance armas secundárias com o botão de [Arma Secundária] (Gasta mana)."
