id,es,en,pt,fr
help0,¿Sabías que puedes bajar el nivel de dificultad escribiendo EASY como nombre de partida?,Did you know that you can lower the difficulty level by typing EASY as the starting name?,Você sabia que pode baixar o nível de dificuldade digitando EASY como seu nome inicial?,Saviez-vous que vous pouvez réduire le niveau de difficulté en tapant EASY comme nom de départ ?
intro_0,"Vaya, qué desastre has hecho Vlad… Quiero decir, Drácula...","Wow, what a mess you've made Vlad… I mean, Dracula...","Uau, mas que desastre você causou, Vlad… Digo, Drácula...","Wow, quel désastre vous avez fait Vlad… Je veux dire,Dracula..."
intro_2,"Abraham... desgraciado, ¿¡tú también planeas traicionarme!?","Abraham... you bastard, are you planning to betray me too!?",Abraham... seu desgraçado... planeja me trair também?,"Abraham... salaud, vous planifiez de me trahir vous aussi?"
intro_3,"Eh, no eres nadie para hablarme de traiciones.","Eh, you're no one to talk to me about betrayal.","Heim, quem é você para falar comigo sobre traição?","Hé, vous êtes mal placé pour parler de trahison."
intro_4,Eres un monstruo que ha ofrecido su alma a las fuerzas de la oscuridad.,You are a monster who has offered his soul to the forces of darkness.,Você é um monstro que ofereceu a sua alma para as forças das trevas.,Vous êtes un monstre qui a offert son âme aux forces du mal.
intro_7,No dejaré que sigas insultando el honor de la familia Tepes.,I will not let you insult the honor of the Tepes family.,Não deixarei que continue insultando a honra da família Tepes.,Je ne te laisserais pas ainsi insulter l’honneur de la famille Tepes.
intro_8,"No, Damian, déjalo. Vete de aquí, tú tienes otra misión que cumplir...","No, Damian, stop it. Get out of here, you have another mission to accomplish...","Não, Damian, pare. Saia daqui pois você tem outra missão a cumprir...","Non, Damian, il suffit. Va-t’en d’ici, tu as une autre mission à accomplir..."
intro_9,De Abraham Van Helsing me encargaré yo.,I will defeat Abraham Van Helsing.,Eu me encarregarei de Abraham Van Helsing.,Je vais me charger d'Abraham Van Helsing.
intro_10,Esta será mi declaración de guerra contra La Orden de Alquimistas.,This will be my declaration of war against the Order of Alchemists.,Esta será a minha declaração de guerra contra a Ordem dos Alquimistas.,Cela sera ma déclaration de guerre contre l’Ordre des Alchimistes.
intro_11,Ninguno de ustedes quedará con vida.,None of you will be left alive.,Nenhum de vocês sairá daqui com vida.,Aucun de vous n’y survivra.
0_0_0,Ah... es un hermoso día. Es perfecto para hacer un picnic.,Ah... it's a beautiful day. It's perfect for a picnic.,Ah... que dia agradável. Perfeito para fazermos um piquenique.,Ah quelle belle journée. C’est parfait pour un pique-nique.
0_0_1,"¿No lo crees así, Xandria?","Don't you think so, Xandria?","Você não acha, Xandria?","Tu ne trouves pas, Xandria?"
