keys,es,en,pt_BR,zh_CN
DLGEXCLAMATION,¡...!,…!,…!,…！
GRIJAYLA1DAMNED,Malditos...,Damn...,Malditos…,该死……
DLG5_1671133094,Gracias por salvarme.,Thank you for saving me.,Obrigado por me salvar.,谢谢你救了我。
DLG6_1671133094,"Dime, ¿qué es lo que ha pasado aquí?","Tell me, what happened here?","Me diga, o que aconteceu aqui?",告诉我，这里发生了什么？
DLG7_1671133094,¡No lo sé! Sucedió de repente...,I don't know! It happened suddenly...,Eu não sei! Aconteceu tão repentinamente…,我不知道！一切来得太突然了……
DLG8_1671133094,"Decenas de demonios llegaron, todo se volvió un caos...","Dozens of demons arrived, everything turned into chaos....","Dezenas de demônios chegaram, tudo se transformou em caos…",几十只恶魔突然闯了进来，一切都乱成了一团……
DLG9_1671133094,¡Tienen que ayudarme! ¡Se llevaron a mi hija!,You have to help me! They took my daughter!,Você tem que me ajudar! Eles levaram minha filha!,你得帮帮我！他们把我女儿带走了！
DLG12_1671133094,¿Has visto a personas con máscaras?,Did you see some people wearing masks?,Você viu algumas pessoas usando máscaras?,你有看到戴面具的人吗？
DLG13_1671133094,¡Si! Vi a varios... ¡Por favor! ¡Encuentren a mi hija!,Yes! I saw several... Please! Find my daughter!,"Sim! Eu vi várias...Por favor, encontre minha filha!",有！我看见了好几个……求你了！去找我的女儿！
DLG14_1671133094,"No prometo nada. Seguiré adelante, tú espera a que lleguen los refuerzos.","No promises. I'll go ahead, you wait for reinforcements to arrive.","Sem promessas. Eu vou na frente, você espera os reforços chegarem.",我不保证。我去前面看看，你先留在这儿，等援兵赶到。
DLG1_1671134583,"Esa máscara... he leído sobre ti. Eres Eva, la [color=yellow]Adeptis primera[/color] de los Ahuizotes.","That mask... I've read about you... You are Eva, the [color=yellow]Adeptis primera[/color] of the Ahuizotes.","Essa máscara...Eu li sobre você... Você é Eva, a [color=yellow]Adeptis primera[/color] dos Ahuizotes.",那张面具……我读到过你的事……你就是 Ahuizotes 的 [color=yellow]Adeptis primera[/color]，伊娃。
DLG4_1671134583,¿Asi que has hecho tu tarea? Qué bien por ti niña.,"So you've done your homework? Good for you, girl.","Então você fez a lição de casa? Bom para você, garota.",看来你功课做得不错嘛。真了不起，小姑娘。
DLG5_1671134583,"He venido en busca del desgraciado de Johannes, dime dónde está ahora.",I've come looking for that bastard Johannes. Tell me where he is now.,"Eu estou à procura do Johannes, aquele desgraçado. Me diga onde ele está agora.",我是来找那个混账约翰内斯的。告诉我，他现在在哪。
DLG6_1671134583,Mocosa... cómo te atreves a hablar de esa manera de nuestro Señor.,You little brat... how dare you speak that way about our Lord?,Sua pirralha...como ousa falar dessa maneira sobre o nosso Senhor?,你这小杂种……竟敢那样称呼吾主？
DLG7_1671134583,Asi que te niegas a hablar... entonces será por las malas.,So you refuse to talk... Then we'll do things the hard way.,Então se recusa a falar...Então será da maneira difícil.,所以你不肯说？那就别怪我来硬的了。
DLG8_1671134583,No tengo tiempo para juegos.,I have no time for games.,Eu não tenho tempo para jogos.,我可没空陪你玩。
DLG10_1671134583,¡No te atrevas a huir!,Don't you dare run away!,Não ouse fugir!,别想逃！
DLG11_1671134583,Tengo mejores cosas que hacer niña.,"I have better things to do, child.","Eu tenho coisas melhores para fazer, criança.",我还有更重要的事要做，孩子。
DLG14_1671134583,¡Ahuizotes! Encargense de esta insolente.,Ahuizotes! Deal with this insolent one.,Ahuizotes! Lidem com essa insolente.,Ahuizotes！给我收拾这个无礼之徒。
DLG1_1671136236,Parece que esto es un mapa de la ciudad... Hay también una carta.,It looks like this is a map of the city... There's also a letter.,Parece que este é um mapa da cidade... Há também uma carta.,看起来像是这座城市的地图……还有一封信。
DLG2_1671136236,Tendré que echarles un vistazo.,I'll have to take a look at them.,Eu irei dar uma olhada neles,我得仔细看看。
DLG5_1671136236,El mapa ha sido actualizado con nueva información. Revisa los nuevos puntos de interés marcados y textos dejados por enemigos.,The map has been updated with new information. Check out the newly marked points of interest and texts left by enemies.,O mapa foi atualizado com uma nova informação. Cheque os novos pontos de interesse sinalizados e textos deixados pelos inimigos.,地图已更新了新的情报。去查看新标出的兴趣点，以及敌人留下的文本吧。
DLG2_1671136581,Al fin te he encontrado...,I've finally found you...,Finalmente eu te encontrei…,总算找到你了……
DLG3_1671136581,"Oh, Xandria. Qué grata sorpresa.","Oh, Xandria. What a pleasant surprise.","Oh, Xandria, Que agradável surpresa.",哦，珊德莉雅。真是个令人愉快的惊喜。
DLG4_1671136581,Mírate... cuánto has crecido...,Look at you... How you've grown...,Olhe para você...O quanto você cresceu…,看看你……长大了不少啊……
DLG5_1671136581,¿Finalmente has decidido a ayudarnos con nuestra misión?,You've finally decided to help us with our mission?,Você finalmente decidiu nos ajudar na nossa missão?,你终于决定来帮助我们完成使命了吗？
DLG7_1671136581,¡Púdrete Johannes! ¡Te borraré esa sonrisa a golpes!,"Are you kidding me, bastard? I'll beat that smile off your face!","Você está brincando comigo, maldito? Eu tirarei esse sorriso da sua cara!",你在开什么玩笑，混账？我会把你那张笑脸揍烂！
DLG8_1671136581,Lo que has hecho con mi familia es algo que no olvidaré...,What you've done to my family is something I won't forget...,O que você tem feito com a minha família é algo que não esquecerei…,你对我家人做过的事，我绝不会忘……
DLG10_1671136581,Otra vez tú... no toleraré ese comportamiento ante nuestro señor.,You again... I will not tolerate such conduct in front of our Lord.,Você de novo...Não irei tolerar tal conduta na frente de nosso senhor.,又是你……我不允许有人在吾主面前如此无礼。
DLG12_1671136581,"Descuida, Eva. Su mente solo se ha manchado con el pensamiento de los impíos que le impiden ver la realidad de este mundo y...","Don't worry, Eva. Her mind has been tainted with thoughts of the ungodly that prevent her from seeing the reality of this world and...","Não se preocupe, Eva. A mente dela está manchada com pensamentos dos ímpios para preveni-la de ver a realidade deste mundo e... ",别担心，伊娃。她的心已经被不敬神明的思想污染了，才会看不清这个世界的真实面貌，而且……
DLG14_1671136581,¡Cállate! No me interesa escuchar tu palabrería y absurdas ideas. ,Shut up! I'm not interested in listening to your crap and absurd ideas. ,Cale-se! Não me interessa em escutar suas ideias absurdas.,闭嘴！我没兴趣听你那套狗屁不通的荒唐言论。
DLG25_1671136581,Estoy aquí para acabar contigo.,I'm here to finish you.,Estou aqui para acabar com você.,我就是来亲手了结你的。
DLG29_1671136581,Es realmente una pena... pero no se puede ayudar a aquel que no admite su problema.,It's really a pity... but we can't help someone who doesn't admit their problems.,Realmente uma pena...mas nós não podemos ajudar quem não admite seus problemas.,真是可惜……但我们帮不了那些不肯承认自己问题的人。
DLG32_1671136581,Y nuestro camino debe seguir. Encárgate de ella.,And our path must continue. Take care of her.,E nosso caminho deve continuar. Cuidem dela.,而我们的道路还必须继续。把她带走。
DLG33_1671136581,"Sí, señor.","Yes, sir.","Sim, senhor.",遵命，先生。
DLG8_1671137942,No puedo...,I can't...,Eu não consigo…,我不行了……
DLG9_1671137942,Ellos... me lastiman...,They... they hurt me...,Eles...eles me feriram…,他们……他们伤了我……
DLG11_1671137942,Quiero que todo fuera como antes...,I want everything to be like before...,Eu quero tudo seja como antes…,我想让一切都变回从前……
DLG13_1671137942,"Vamos Xandria, sé fuerte.","Come on, Xandria. Be strong!","Vamos Xandria, seja forte.",振作点，珊德莉雅。坚强起来！
DLG14_1671137942,Solo aguanta un poco más...,Just hold on a little longer...,Apenas aguente um pouco mais…,再撑一下……
DLG16_1671137942,Me estoy esforzando para cumplir sus ordenes...,I'm trying hard to carry out their orders...,Estou tentando seriamente em cumprir as ordens…,我正在拼命完成他们交代的事……
DLG18_1671137942,"Ellos quieren crear al Alquimista de Hierro definitivo, alguien con mucho poder...","They want to create the ultimate Iron Alchemist, someone with a lot of power...","Eles querem criar o Alquimista de Aço definitivo, alguém com muito poder…",他们想打造出最强的铁之炼金术师，一个拥有强大力量的人……
DLG19_1671137942,Me convertiré en esa persona que buscan.,I will become the person they are looking for.,Eu me tornarei a pessoa que estão procurando.,我要成为他们正在寻找的那个人。
DLG20_1671137942,"Y cuando lo logre, pediré que te dejen ir.","And when I succeed, I will ask them to let you go.","E quando eu conseguir, eu irei pedir a eles para te liberar.",等我成功之后，我就求他们放了你。
DLG21_1671137942,"Todo saldrá bien, no volverán a molestarte.","Everything will be fine, they won't bother you again.","Tudo estará bem, ele não irão te importunar novamente.",一切都会好起来的，他们不会再来烦你。
DLG23_1671137942,No pierdas las esperanzas Xandria.,"Don't give up hope, Xandria.","Xandria, não perca as esperanças.",不要放弃希望，珊德莉雅。
DLG34_1671137942,¿Eh?,Eh?,Eh?,诶？
DLG35_1671137942,¡Señorita Xandria!,Miss Xandria!,Senhorita Xandria!,珊德莉雅小姐！
DLG40_1671137942,Señorita Xandria... menos mal... ¿Cómo se siente?,"Miss Xandria, thank goodness... How are you feeling?",Senhorita Xandria...ainda bem…Como está se sentindo?,珊德莉雅小姐，谢天谢地……你感觉怎么样？
DLG41_1671137942,"Eh... bien, creo... ¿quién eres tú? ¿cómo sabes mi nombre?","Uh, well... I think... Who are you? How do you know my name?","Uh...bem, eu acho...Quem é você? Como sabe o meu nome?",呃，那个……我想……你是谁？你怎么知道我的名字？
DLG42_1671137942,"Me llamo Atreu, soy un aprendiz de Alquimista. Es un honor poder conocerla señorita Xandria.","My name is Atreu. I'm a novice alchemist. It's an honor to meet you, Miss Xandria.","Meu nome é Atreu, sou um alquimista novato. É uma honra te encontrar, senhorita Xandria.",我叫阿特柔，是一名见习炼金术师。能见到你是我的荣幸，珊德莉雅小姐。
DLG43_1671137942,He escuchado de sus hazañas en Transilvania. Sobre como derrotó a Drácula usted sola y...,I've heard of your heroic efforts in Transylvania. How you defeated Dracula by yourself and...,Eu soube de suas ações heroicas na Transilvânia. De como derrotou Drácula sozinha e…,我听说过你在特兰西瓦尼亚的英勇事迹。你独自击败了德古拉，还……
DLG44_1671137942,"Sí, sí, lo que sea, ahórrate los halagos.","Yeah, yeah, whatever. Save the compliments.","Sim, sim, deixe de elogios.",行了行了，少拍马屁。
DLG45_1671137942,Ah... me duele la cabeza...,Ah... my head hurts...,Ah...minha cabeça dói…,啊……我的头好疼……
DLG46_1671137942,"Es lo de menos, usted ha caído desde una gran altura. Traje algunas medicinas que le podrían ayudar. ","That’s the least of it, you've fallen from a great height. I brought some medicine that might help you.","Pelo menos, você caiu de uma grande altura. Eu trouxe um remédio que pode te ajudar.",那还不是最糟的。你从那么高的地方摔下来，我带了些可能对你有帮助的药。
DLG49_1671137942,¿Qué rayos haces aquí?,What the heck are you doing here?,Que diabos está fazendo aqui?,你到底在这儿干什么？
DLG51_1671137942,Bueno... vine a escondidas de mis instructores...,Well... I hid from my instructors...,Bem... Eu vim escondido dos meus instrutores.,嗯……我是偷跑出来躲开导师们的……
DLG54_1671137942,Con que estás desobedeciendo ordenes...,So you're disobeying orders...,Então está desobedecendo ordens…,所以你是在违抗命令……
DLG55_1671137942,"Me agrada tu estilo, chico.","I like your style, boy.","Eu gosto do seu estilo, jovem.",我喜欢你的风格，小子。
DLG58_1671137942,Oh... la señorita Xandria me ha elogiado...,Oh... Miss Xandria has praised me...,Oh...Senhorita Xandria me elogiou…,哦……珊德莉雅小姐夸我了……
DLG60_1671137942,(Se ha sonrojado..),(He blushed...),(Ele se envergonhou…),（他脸红了……）
DLG61_1671137942,(Qué chico tan raro.),(What a strange kid.),(Que jovem estranho.),（真是个奇怪的小鬼。）
DLG62_1671137942,Eso no está bien.,That's not right.,Isso não está certo.,这可不对。
DLG65_1671137942,"Lo sé, pero tenía que venir a ayudar de alguna manera.","I know, but I had to come and help somehow.","Eu sei, mas eu tenho que ir e ajudar de alguma forma.",我知道，但我总得想办法来帮忙。
DLG66_1671137942,En Grijayla viven personas que me importan mucho.,People who matter a lot to me live in Grijayla.,Em Grijayla vivem pessoas que eu me importo bastante.,对我来说很重要的人就住在格里哈伊拉。
DLG70_1671137942,(Pero quién soy para juzgar... No seguiré más con el tema).,(But who am I to judge... I won't pursue the subject any further.),(Mas quem sou eu para julgar...Eu não continuarei mais com esse tema.),（不过我又有什么资格评判呢……还是别再追问下去了。）
DLG74_1671137942,"Señorita Xandria, ¿le ayudo a salir?","Miss Xandria, shall I help you out?","Senhorita Xandria, posso te ajudar a sair?",珊德莉雅小姐，要我帮你一把吗？
DLG75_1671137942,Ya me has ayudado lo suficiente.,You've helped me enough already.,Você já me ajudou o bastante.,你已经帮我够多了。
DLG76_1671137942,"Solo vete, estaré bien sola.","Just go, I'll be fine on my own.","Apenas vá, eu ficarei bem só.",你走吧，我自己能行。
DLG77_1671137942,Bueno. Si usted lo dice...,Okay. If you say so...,"Ok, já que diz.",好吧。既然你这么说……
DLG1_1671139129,Esto es... [color=yellow]Carbono[/color] me será de utilidad para destrir la Calcita.,This is... [color=yellow]Carbon[/color] will be useful for destroying Calcite.,Este é...[color=yellow]Carbono[/color] será útil para destruir a Calcita.,这是……[color=yellow]碳[/color]，它会对摧毁方解石有用。
DLG4_1671139129,Crea una [color=yellow]Aleación[/color] de Hierro+Carbono desde el sistema de alquimia para aumentar la dureza del látigo.,Create an [color=yellow]Alloy[/color] of Iron+Carbon from the alchemy system to increase the hardness of the whip.,Cria uma [color=yellow]liga[/color] de Ferro+Carbono do sistema de alquimia para aumentar a durabilidade do chicote.,去炼金系统里制作铁+碳的 [color=yellow]合金[/color]，提高鞭子的硬度。
DLG1_1674506987,Esto parece ser mineral de [color=yellow]Calcita[/color]...,This appears to be [color=yellow]Calcite[/color] ore...,Isso parece ser um minério de [color=yellow]Calcita[/color]…,这看起来像是 [color=yellow]方解石[/color] 矿……
DLG2_1674506987,[color=yellow]Necesitaré más que solo Hierro[/color] para poder salir de aquí.,[color=yellow]I'll need more than just Iron[/color] to get out of here.,[color=yellow]Precisarei mais que apenas Ferro[/color] para sair daqui.,[color=yellow]光靠铁还不够[/color]，我得靠别的办法离开这里。
DLG2_1675875815,Lo suponía... Un ataque como ese no era suficiente para matarte.,I thought so... An attack like that wasn't enough to kill you.,Como pensei...Um ataque como esse não seria o bastante para te matar.,我就知道……刚才那一下果然还杀不死你。
DLG3_1675875815,Tendré que encargarme personalmente de ti.,I'll have to take care of you personally.,Eu irei cuidar de você pessoalmente.,看来只能由我亲自收拾你了。
DLG4_1675875815,"Ven, Adeptis. Te haré caer de rodillas.","Come, Adeptis. I'll bring you to your knees.","Venha, Adeptis. Te deixarei de joelhos.",来吧，Adeptis。我要让你跪倒在地。
DLG2_1675875857,"Debo admitirlo, eres un hueso duro de roer.","I must admit, you're a tough nut to crack.","Eu tenho que admitir, você é osso duro de roer.",我得承认，你比我想的还要难缠。
DLG3_1675875857,Pero la batalla ya la has perdido al enfrentarte a mí.,But you have already lost the battle by confronting me.,Mas você já perdeu a batalha ao me confrontar.,但你来面对我时，这场战斗就已经输定了。
DLG4_1675875857,Esta será tu tumba.,This will be your grave.,Esta será o seu túmulo.,这里将会成为你的坟墓。
DLG7_1675875857,(¡Ella es una Alqumista de Cloro!),(She is a Chlorine Alchemist!),(Ela é uma Alquimista de Cloro!),（她是氯之炼金术师！）
DLG12_1675875857,¡Muere en agonía!,Die in agony!,Morra em agonia!,在痛苦中死去吧！
DLG1_1675878395,¡Maldita sea! ¡No puedo salir!,Damn it! I can't get out!,Droga! Eu não consigo sair!,可恶！我出不去了！
DLG1_1677711345,¿Él se está propulsando en el aire con una pistola?,He's propelling himself into the air with a gun?,Ele está se impulsionando no ar com uma arma?,他是在用枪把自己推进空中吗？
DLG2_1677711345,Qué habilidad tan rara.,What a weird ability.,Mas que habilidade diferente.,这能力也太怪了。
DLG3_1677711345,Tengo que buscar otra manera de salir de aquí y debo darme prisa.,I have to find another way out of here. I must hurry.,Eu tenho que encontrar uma outra forma de sair daqui e rápido.,我得另找出口才行。必须快点。
DLG7_1677779048,Él no lo ha logrado. Es una pena...,He didn't make it. What a pity…,Ele não foi bem-sucedido. É uma pena...,他没撑过去。真可惜……
DLG9_1677779048,No dejes que su sacrificio sea en vano.,Don't let his sacrifice be in vain.,Não deixe que seu sacrifício seja em vão.,别让他的牺牲白费。
DLG10_1677779048,Estás destinada a grandes cosas...,You are destined for great things...,Você está destinada a atos grandiosos…,你注定会成就伟业……
DLG13_1677779048,Pero antes tu poder debe despertar...,"But first, your power must awaken…","Mas primeiro, seu poder precisa ser despertado…",但在那之前，你的力量必须觉醒……
DLG14_1677779048,Serás capaz de hacer que la tierra se estremezca.,You will be able to make the earth tremble.,Você será capaz de estremecer a terra.,你将能让大地震颤。
DLG15_1677779048,Que los mares se agiten sin control.,Make the seas churn uncontrollably.,Que os mares agitem descontroladamente.,让大海无序翻腾。
DLG16_1677779048,Que el fuego emerga desde las profundidades.,Make fire emerge from the depths.,Que as chamas emerjam das profundezas.,让火焰自深处涌现。
DLG20_1677779048,El calor es la vibración acelerada de los átomos.,Heat is the accelerated vibration of atoms.,Calor é a vibração acelerada dos átomos.,热，本质上是原子加速振动的结果。
DLG22_1677779048,Y un alquimista debe ser capaz de controlar esta vibración y dominarla a su voluntad.,And an alchemist must be able to control this vibration and master it at will.,E um alquimista deve ser capaz de controlar sua vibração e dominar à sua vontade.,而炼金术师必须能够掌控这种振动，并随心所欲地驾驭它。
DLG27_1677779048,Hazlo Xandria...,"Do it, Xandria…",Faça Xandria…,去做吧，珊德莉雅……
DLG28_1677779048,"Controla ese movimiento atómico, y una vez que lo logres...","Control this atomic movement, and once you do...","Controle este movimento atômico, ao conseguir fazê-lo…",掌控这种原子运动，一旦做到了……
DLG29_1677779048,El dolor desaparecerá.,The pain will disappear.,A dor desaparecerá.,痛苦就会消失。
DLG1_1678397417,Nota importante de seguridad sobre los contenedores de [color=yellow]Nitroglicerina.[/color],Important safety note on [color=yellow]Nitroglycerin[/color] containers.,Nota importante de segurança nos contêineres de [color=yellow]Nitroglicerina[/color].,关于 [color=yellow]硝化甘油[/color] 容器的重要安全须知。
