keys,es,en,pt_BR,zh_CN
ABOUT_ALLOY,"Como alquimista de Hierro, Xandria puede usar otros elementos químicos para combinarlos con el hierro de su látigo, estas aleaciones pueden cambiar las propiedades elementales del látigo.","As an Iron alchemist, Xandria can use other chemical elements to combine with the iron whip. These alloys can change the elemental properties of the whip.","Sendo uma Alquimista de Ferro, Xandria pode usar outros elementos químicos para combinar com o chicote de ferro. Essas ligas podem mudar as propriedades elementais do chicote.",作为铁之炼金术师，珊德莉雅可以利用其他化学元素与铁鞭结合。这些合金能够改变鞭子的元素属性。
ABOUT_ACTION,"Los circuitos elementales de Acción proporcionan nuevos ataques alquímicos. Se activan presionando el botón de [Circuito E.], algunos requieren tiempo de carga (mantener el botón presionado), un gasto de maná o aleaciones específicas.","The Action elemental circuits provide new alchemical attacks. They are activated by pressing the [E. Circuit] button. Some require charging time (keep the button pressed), an expenditure of mana, or specific alloys.","Os circuitos elementais de Ação provém novos ataques alquímicos. São ativados ao pressionar o botão de [Circuito Elemental], alguns precisam de recarga (mantenha o botão pressionado),gasto de mana ou ligas específicas.",动作类元素回路可提供新的炼金攻击。按下 [元素回路] 按钮即可发动。部分回路需要蓄力时间（按住按钮）、消耗法力，或需要特定合金。
ABOUT_ABILITY,Este tipo de circuito elemental otorga habilidades pasivas.,This type of elemental circuit grants passive abilities.,Este tipo de circuito elemental concede habilidades passivas.,这类元素回路会赋予被动能力。
DODGE_DESC,Presiona [Esquivar] cuando estés caminando para rodar hacia adelante. Obtienes frames de invulnerabilidad.,Press [Backdash] when walking to roll forward. You get frames of invulnerability.,Pressione [Esquiva] enquanto anda para rolar para frente. Obtém frames de invulnerabilidade.,步行时按下 [后闪] 可向前翻滚，并获得短暂无敌时间。
BLADE_WHIP_DESC,Manteniendo presionado Arriba+Ataque fortalece el látigo con la sangre de los enemigos derrotados. Luego suelta el botón del látigo para ejecutar el ataque.,"Holding Up+Attack strengthens the whip with the blood of defeated enemies. Then, release the whip button to execute the attack.","Segurando Up+Ataque fortalece o chicote com o sangue dos inimigos derrotados. Então, solte o botão do chicote para executar o ataque.",按住上+攻击，可用已击败敌人的鲜血强化鞭子。随后松开鞭击按钮即可发动此攻击。
BLOOD_CONTROL_DESC,Permite que alquimistas de [Hierro] manipulen cierta cantidad de sangre. Un misterioso poder obtenido en Transilvania.,Allows [Iron] alchemists to manipulate a certain amount of blood. A mysterious power obtained in Transylvania.,Permite Alquimistas de [Ferro] manipular uma certa quantidade de sangue. Um poder misterioso obtido na Transilvânia.,让 [铁] 之炼金术师能够操控一定量的鲜血。这是在特兰西瓦尼亚获得的神秘力量。
SLIDE_DESC,Estando en el suelo mantén ↓ + [Salto] para deslizarte.,"While on the ground, hold ↓ + [Jump] to slide.","No chão, segure ↓ + [Pulo] para deslizar",在地面上时，按住 ↓ + [跳跃] 可进行滑行。
LUX_TENEBRIS_DESC,Ilumina aquellos lugares rodeados de tinieblas.,Illuminates places surrounded by darkness.,Ilumina os lugares escuros.,照亮被黑暗笼罩的地方。
WHIP_CRUSH_DESC,Deja caer todo el poder del látigo carmesí con el comando [↑→↓ + Ataque]. Se requiere que la barra de sangre esté llena.,Drop the full power of the crimson whip with the command [↑→↓ + Attack]. A full blood bar is required.,Libera o poder máximo do chicote carmesim com o comando [↑→↓ + Ataque]. A barra de sangue precisa estar cheia.,输入指令 [↑→↓+ 攻击] 可释放猩红之鞭的全部力量。需要鲜血槽已满。
PERMETRI_CALORIS_DESC,Genera calor en el área durante algunos segundos.,Generates heat in the area for a few seconds.,Gera calor numa área por poucos segundos,在周围区域产生数秒热能。
DOUBLE_JUMP_DESC,Permite dar un salto adicional en el aire.,Allows an additional jump in the air.,Permite um pulo adicional no ar,可在空中额外再跳一次。
AIR_KICK_DESC,"Después de un doble salto, presionando ↓ + [Salto] realiza una patada hacia abajo.","After a double jump, pressing ↓ + [Jump] performs a downward kick.","Depois do pulo duplo, pressionando ↓ + [Pulo] faz um chute descendente",二段跳后，按下 ↓ + [跳跃] 可使出向下踢击。
