keys,es,en,pt_BR,zh_CN,fr
PAN_TITLE,Pedazo de Pan,Piece of bread,Pedaço de pão,一块面包,Morceau de Pain
PAN_DESC,Un pedazo de pan. Recupera un poco de salud.,A piece of bread. Recovers some health.,Um pedaço de pão que recupera um pouco da saúde.,一块面包。恢复少量生命。,Un morceau de pain. Restaure un peu de santé.
POTION_MANA_TITLE,Poción de Maná,Mana Potion,Poção de Mana,法力药,Potion de Mana
POTION_MANA_DESC,Recupera un poco de Maná.,Recovers some Mana.,Recupera um pouco de mana,恢复少量法力。,Restaure un peu de Mana.
CHIKEN_LEG_DESC,Rico pollo con el que recuperas algo de salud.,Delicious chicken with which you recover some health.,Delicioso frango para recuperar saúde,美味的鸡腿。可恢复少量生命。,Un délicieux morceau de poulet qui permet de récupérer un peu de santé.
CHIKEN_LEG_TITLE,Pierna de Pollo,Chicken Leg,Coxa de frango,鸡腿,Cuisse de Poulet
POTION_CURSE_TITLE,Poción Antimaldiciones,Anti-Curse Potion,Poção anti-maldição.,解咒药,Potion Anti-Malédictions
POTION_POISON_TITLE,Antídoto,Antidote,Antídoto,解毒药,Antidote.
POTION_HEALTH_TITLE,Poción Curativa,Healing Potion,Poção de cura,治疗药,Potion de soin
FIRST_AID_KIT_TITLE,Kit de primeros auxilios,First Aid Box,Caixa de primeiros socorros,急救箱,Trousse de premiers soins.
BRONZE_KEY_TITLE,Llave de Bronce,Bronze Key,Chave de bronze,青铜钥匙,Clé en Bronze
BRONZE_KEY_DESC,"Una vieja llave de bronce, solo eso.",An old bronze key—just that.,"Uma chave de bronze antiga, só isso.",一把旧青铜钥匙，仅此而已。,"Une vieille clé en bronze, rien de plus."
POTION_HEALTH_DESC,Restaura una 40% de la salud total.,Restores 40% of total health,Restaura 40% de sua saúde total,恢复 40% 的总生命值。,Restaure 40 % de la santé totale.
POTION_POISON_DESC,Detiene los efectos negativos del veneno.,Stops the negative effects of poison.,Para os efeitos negativos do veneno,解除中毒带来的负面效果。,Arrête les effets négatifs du poison.
POTION_CURSE_DESC,Remueve maldiciones.,Remove Curses.,Remove Maldições,解除诅咒。,Élimine les malédictions.
FIRST_AID_KIT_DESC,"Sana el estado negativo ""Lesionado"" del cuerpo.","Heals the negative ""Injured"" status.","Cura o estado negativo de ""ferido"" do corpo.",治愈负面状态“受伤”。,"Soigne l’état négatif ""Blessé""."
BEER_TITLE,Jarra de Cerveza,Beer Jar,Jarro de Cerveja,扎啤,Chope de Bière
BEER_DESC,Una refrescante jarra de cerveza con la que recuperas bastante salud.,A refreshing mug of beer with which you recover a lot of health.,Uma refrescante caneca de cerveja que recupera bastante saúde.,一大杯清爽的啤酒。可恢复大量生命。,Une chope de bière rafraîchissante qui permet de récupérer beaucoup de santé.
FRAGANCE_TITLE,Perfume Femenino,Women's Perfume,Perfume Feminino,女士香水,Parfum Féminin
FRAGANCE_DESC,Un perfume que solo mujeres de alta sociedad usan. Podria venderse a un buen precio.,A perfume that only high-society women wear. It could be sold at a good price.,Um perfume que apenas as mulheres da alta sociedade usam. Pode ser vendido por um bom preço.,只有上流社会女性才会使用的香水。应该能卖个好价钱。,Un parfum que seules les femmes de haute société utilisent. Peut se vendre à bon prix.
CARPATITIA_TITLE,Carpatitia,Carpatithia,Carpatithia,卡尔帕提提亚,Carpatitia
CARPATITIA_DESC,Un extraño mineral similar al cuarzo encontrado en la cercanías de un castillo en Transilvania. Permite regresar a la estatua de guardado en la ciudad de Amerithia.,A rare quartz-like mineral found near a castle in Transylvania. Allows you to return to the save statue in the city of Amerithia.,Um raro mineral encontrado próximo de um castelo na Transilvânia. Te permite retornar à estátua do guarda na cidade de Amerithia.,一种在特兰西瓦尼亚城堡附近发现的稀有矿物，外形类似石英。可让你返回阿美瑞西亚城中的存档雕像。,"Un étrange minéral similaire au quartz, trouvé près d’un château en Transylvanie. Permet de retourner à la statue de sauvegarde dans la ville d’Amerithia."
ROTTEN_CHIKEN_LEG_TITLE,Pierna de pollo rancia,Rotten Chicken Leg,Coxa de Frango Podre,腐坏的鸡腿,Cuisse de Poulet pourrie
ROTTEN_CHIKEN_LEG_DESC,No creo que sea buena idea comerlo...,Don't think it's a good idea to eat it...,Não acho uma boa ideia comer isso…,怎么看都不像适合吃下去的东西……,Il ne semble pas judicieux de la manger...
