keys,es,en,pt_BR,zh_CN,fr
YES,Sí,Yes,Sim,是,Oui
NO,No,No,Não,否,Non
USEITEM,Usar item,Use item,Usar item,使用物品,Utiliser l'objet
CLOSE,Cerrar,Close,Fechar,关闭,Fermer
CONTINUE,Continuar,Continue,Continuar,继续,Continuer
SKIP,Omitir,Skip,Pular,跳过,Ignorer
PRESS,Presiona,Press,Pressionar,按下,Appuie
TO_START,para comenzar,to start,Para começar,开始,pour commencer
TO_CONTINUE,para continuar,to continue,Para continuar,继续,pour continuer
TAP_TO_START,Toca para comenzar,Tap to start,Aperte para começar,轻触开始,Touche pour commencer
RETURN,Regresar,Return,Voltar,返回,Retour
MOVE,Mover,Move,Mover,移动,Bouger
CHANGE,Cambiar,Change,Trocar,切换,Changer
SELECT,Seleccionar,Select,Selecionar,选择,Sélectionner
START,Iniciar,Start,Começar,开始,Commencer
OPTIONS,Opciones,Options,Opções,选项,Options
EXIT,Salir,Exit,Sair,退出,Quitter
MAIN_MENU,Menú principal,Main menu,Menu principal,主菜单,Menu principal
GAMEPLAY,Jugabilidad,Gameplay,Jogabilidade,游戏玩法,Jouabilité
VIDEO,Video,Video,Vídeo,画面,Vidéo
AUDIO,Audio,Audio,Áudio,音频,Audio
GAMEPAD,Control,Controller,Controle,手柄,Contrôle
KEYBOARD,Teclado,Keyboard,Teclado,键盘,Clavier
LANGUAGE,Idioma,Language,Idioma,语言,Langue
PLAYER_AFTERIMAGE,Estela fantasma del jugador,Player Afterimage,Pós-imagem do jogador,角色残影,Traînée fantôme du joueur
MOVE_WITH_JOYSTICK,Mover personaje con palanca izquierda,Move character with left stick,Mover personagem com botão analógico (E),用左摇杆移动角色,Déplacer le personnage avec le joystick gauche
GAMEPAD_VIBRTN,Vibración de control,Controller vibration,Vibração do controle,手柄震动,Vibration de la manette
SHAKE_CMR_DAMAGE,Sacudir cámara al recibir daño,Shake camera on damage,Vibrar a câmera durante o dano,受击时镜头震动,Secouer la caméra en cas de dégâts
ICONS_BTNS,Íconos de botones,Button icons,Ícones dos botões,按键图标,Icônes des boutons
CUSTOM_GAMEPAD_ICONS,Personalizar íconos de botones,Customize button icons,Personalizar os ícones dos botões,自定义按键图标,Personnaliser les icônes des boutons
QUALITY,Calidad,Quality,Qualidade,画质,Qualité
VISUALIZATION_MODE,Modo de visualización,Display Mode,Modo de visualização,显示模式,Mode d'affichage
WINDOW_RESOLUTION,Resolución en modo ventana,Window Resolution,Resolução de janela,窗口分辨率,Résolution en mode fenêtré
FPS_LIMIT,Límite de FPS (depuración),FPS Limit (debug),Limite de FPS (debug),FPS 上限（调试）,Limite de FPS (débogage)
CRT_MODE,Filtro CRT,CRT filter,Filtro CRT,CRT 滤镜,Filtre CRT
SOUND_EFFECTS,Efectos de sonido,Sound effects,Efeitos de som,音效,Effets sonores
MUSIC,Música,Music,Música,音乐,Musique
VOICES,Voces,Voices,Vozes,语音,Voix
PRESS_NEW_KEY,Presiona la nueva tecla (teclado),Press new key (keyboard),Pressione uma nova tecla (teclado),按下新的按键（键盘）,Appuie sur la nouvelle touche (clavier)
PRESS_NEW_BTN,Presiona el nuevo botón (control),Press new button (controller),Pressione um novo botão (controle),按下新的按键（手柄）,Appuie sur le nouveau bouton (contrôleur)
PRESS_ESCAPE,Presiona [Escape],Press [Escape],Pressione [Esc],按下 [Escape],Appuie sur [Échap]
PRESS_BACK_ANDROID,Presiona [Atrás] (Móvil),Press [Back] (Mobile),Pressione [Voltar] (Mobile),按下 [返回]（移动端）,Appuie sur [Retour] (Mobile)
ACTION_UI_START,Pausa / Equipamiento,Pause / Equipment,Pausar/ Equipamento,暂停 / 装备,Pause / Équipement
ACTION_UI_SELECT,Abrir mapa,Open map,Abrir mapa,打开地图,Ouvrir la carte
ACTION_UI_ACCEPT,Aceptar,Accept,Aceitar,确认,Accepter
ACTION_UI_CANCEL,Cancelar,Cancel,Cancelar,取消,Annuler
ACTION_UI_UP,Arriba,Up,Cima,上,Haut
ACTION_UI_DOWN,Abajo,Down,Baixo,下,Bas
ACTION_UI_LEFT,Izquierda,Left,Esquerda,左,Gauche
ACTION_UI_RIGHT,Derecha,Right,Direita,右,Droite
ACTION_UI_FOCUS_PREV,Página previa,Previous page,Página anterior,上一页,Page précédente
ACTION_UI_FOCUS_NEXT,Página siguiente,Next page,Próxima página,下一页,Page suivante
ACTION_JUMP,Saltar,Jump,Pular,跳跃,Sauter
ACTION_QUICKMENU,Menú Rápido,Quick Menu,Menu Rápido,快捷菜单,Menu rapide
ACTION_ATTACK,Atacar,Attack,Atacar,攻击,Attaquer
ACTION_BACKDASH,Retroceder / Esquivar,Backdash / Dodge,Recuar / Esquivar,后闪 / 闪避,Reculer / Esquiver
ACTION_CIRCUIT,Circuito Elemental,Elemental Circuit,Circuito Elemental,元素回路,Circuit Élémentaire
SHADERS_DYNAMIC_LIGHTS,Shaders y luces dinámicas (Alto),Shaders and dynamic lights (High),Shaders e luzes dinâmicas (Alta),着色器与动态光照（高）,Ombres et lumières dynamiques (Élevé)
SHADERS_SIMPLE_LIGHTS,Shaders y luces simples (Medio),Shaders and simple lights (Medium),Shaders e luzes simples (Média),着色器与简易光照（中）,Ombres et lumières simples (Moyen)
SHADERS_NOT_SIMPLE_LIGHTS,Solo luces simples (Bajo),Just simple lights (Low),Apenas luzes simples (Baixa),仅简易光照（低）,Lumières simples uniquement (Bas)
SOLVE_GAMEPAD_INCOMPATIBILITY,Solucionar problemas de compatibilidad,Fix compatibility issues,Solucionar problemas de compatibilidade,修复兼容性问题,Résoudre les problèmes de compatibilité
WINDOW_BORDERLESS,Pantalla sin bordes,Borderless screen,Tela sem bordas,无边框窗口,Plein écran sans bordures
WINDOWED,Ventana,Window,Janela,窗口,Fenêtré
MONITOR_RES,Resolución del monitor,Monitor Resolution,Resolução do monitor,显示器分辨率,Résolution du moniteur
