keys,es,en,pt_BR,zh_CN
ENEMIES_NOTE_GRIJAYLA_ATTACK_DESC,"[Carta encontrada en Grijayla dirigida a los Ahuizotes].

Hermanos, nos han encomendado la importante misión de ayudar en la creación del [Opus Magnum].

Sigan las ordenes de la Adeptis primera y dirijanse a la parte Noroeste de la ciudad en busca del [Prisma de dispersión inversa].

Reciban este mapa para no dejar ningún lugar sin revisar.

Que Athos esté con ustedes.","[Letter found in Grijayla addressed to the Ahuizotes].

Brothers, we have been entrusted with the important mission of assisting in the creation of the [Opus Magnum].

Follow the orders of the Adeptis primera and head to the northwest part of the city in search of the [Reverse Dispersion Prism].

Receive this map to leave no place unchecked.

Athos be with you.","[Carta encontrada em Grijayla, endereçada aos Ahuizotes].

Irmãos, nos foi confiada a importante missão de auxiliar na criação do [Opus Magnum].

Siga as ordens de Adeptis primera e sigam à parte noroeste da cidade na procura do [Prisma de Dispersão Reverso]

Receba esse mapa e não deixem nenhum local checado.

Athos esteja com vocês.","[在格里哈伊拉发现、写给 Ahuizotes 的信件]。

兄弟们，我们已被赋予协助完成 [至高杰作] 的重要使命。

遵照 Adeptis primera 的命令，前往城市西北区域，寻找 [逆向色散棱镜]。

收下这张地图，务必不要漏掉任何地方。

愿阿托斯与你同在。"
ENEMIES_NOTE_GRIJAYLA_ATTACK_TITLE,Ataque en Grijayla,Attack in Grijayla,Ataque em Grijayla,格里哈伊拉袭击行动
ANON_LETTER_I_TITLE,Carta Anónima I,Anonymous letter I,Carta anônima 1,匿名信 I
ANON_LETTER_I_DESC,"[Carta encontrada en Grijayla, autor desconocido]

Tengo que decir que estoy muy agradecido de que nuestro Señor haya decidido iluminar mi camino y conducirme hacia la cura que tanto necesitaba. ¡Me siento mucho mejor ahora!

Los Ahuizotes me han suministrado la sangre bendita de Athos. Me ha curado por completo. Algo que la ciencia de los mortales no pudo lograr. Ahora entiendo el verdadero poder del que [La Orden] se ha encargado de ocultar.

No puedo explicar con palabras la felicidad que siento al haber encontrado la salvación en Athos. Ahora sé que mi futuro está en seguir al señor Trithemius, portador de su voluntad.

Me iré de este lugar a predicar la verdad absoluta.

Si alguien más se encuentra en una situación similar a la mía, les sugiero que abran sus corazones y se encomienden a la divina gracia de Athos.","[Letter found in Grijayla, author unknown].

I have to say that I'm very grateful that our Lord has decided to enlighten my path and lead me to the cure I needed so much. I feel much better now!

The Ahuizotes have supplied me with the blessed blood of Athos. It has healed me completely. Something that mortal science could not achieve. Now I understand the true power that [The Order] has taken care to hide.

I cannot explain in words the happiness I feel at having found salvation in Athos. Now I know that my future lies in following Lord Trithemius, the bearer of his will.

I will leave this place to preach the absolute truth.

If anyone else finds themselves in a similar situation to mine, I suggest that they open their hearts and entrust themselves to the divine grace of Athos.","[Carta encontrada em Grijayla, autor desconhecido].

Tenho que dizer que estou muito agradecido que o nosso Senhor tenha decidido iluminar meu caminho e me levar a cura que eu precisava tanto. Me sinto muito melhor agora!

Os Ahuizotes tem me fornecido com o sangue abençoado de Athos. Isso me curou completamente. Algo que a ciência dos homens não pôde alcançar. Agora eu entendo o verdadeiro poder que [A Ordem] tem se encarregado de esconder…

Eu não consigo explicar em palavras a felicidade que sinto ao encontrar a salvação em Athos. Agora eu sei que meu futuro está em seguir o Senhor Trithemius, o portador de Sua vontade.

Eu deixarei este lugar para pregar a verdade absoluta.

Se encontrar a si mesmos numa situação similar qua a minha, eu sugiro que abram seus corações e confiem a si mesmos a divina graça de Athos.","[在格里哈伊拉发现的信件，作者不详]。

我必须说，我由衷感激我们的主决定点亮我的道路，并引领我找到我一直苦苦寻求的解药。我现在感觉好多了！

Ahuizotes 为我提供了受阿托斯祝福的鲜血。它彻底治好了我。这是凡人的科学根本无法做到的事。如今我终于明白，[教团] 一直竭力隐藏的真正力量究竟是什么。

我无法用言语形容自己在阿托斯之中寻得救赎的喜悦。如今我知道，我的未来就在于追随特里特米乌斯大人，追随那位承载阿托斯意志的人。

我要离开这里，去宣扬这绝对的真理。

如果还有人遭遇了与我相似的处境，我建议他们敞开心扉，将自己托付给阿托斯的神圣恩典。"
ABOUT_VOLCAN_GAS_TITLE,Gases tóxicos en volcán,Toxic gas in volcano,Gás tóxico no vulcão,火山中的毒气
ABOUT_VOLCAN_GAS_DESC,"Es nuestra primera expedición al volcán ubicado en una de las islas de Tahuatepet. El aire se combina con el dióxido de azufre, un gas infernal cuyos vapores podrían debilitarnos lo suficiente como para que los goblins, astutos demonios, aprovechen la oportunidad de despojarnos de nuestras pertenencias y de nuestras vidas.

Debemos permanecer atentos al ennegrecimiento de la [Plata] que llevamos, ya que nos indicará aquellos lugares donde ese gas es abundante.","It's our first expedition to the volcano located on one of the islands of Tahuatepet. The air combines with sulfur dioxide, an infernal gas whose vapors could weaken us enough for the goblins, cunning demons, to take advantage of the opportunity to strip us of our belongings and our lives.

We must remain attentive to the blackening of the [Silver] we carry, as it will indicate those places where this gas is abundant.","Esta é a nossa primeira expedição ao vulcão localizado em uma das ilhas de Tahuatepet. O ar combina com dióxido de enxofre, um gás infernal com vapores que podem nos enfraquecer o bastante para goblins, demônios ardilosos, de aproveitar a oportunidade de roubar nossas coisas e nossas vidas. 


Nós devemos nos manter atentos ao escurecimento da [Prata] que carregamos, assim indicará os locais onde o gás é abundante.","这是我们首次前往塔瓦特佩特某座岛上的火山进行探索。空气与二氧化硫混合，形成一种宛如地狱般的毒气；它的蒸汽足以削弱我们，让那些狡猾的恶魔哥布林趁机夺走我们的财物与性命。

我们必须时刻留意随身携带的 [银] 是否发黑，因为那会提示这种气体浓度较高的地点。"
ALCHEMIST_DESC,"Son aquellas personas capaces de controlar el movimiento atómico de un elemento químico en específico, utilizando el flujo de maná en sus cuerpos.","They are those people capable of controlling the atomic movement of a specific chemical element, using the flow of mana in their bodies.","São pessoas capazes de controlar o movimento atômico de um elemento químico específico, usando o fluxo de mana em seus corpos.",指那些能够借助体内法力流动，控制某一种特定化学元素原子运动的人。
ALCHEMIST_TITLE,Alquimista,Alchemist,Alquimista.,炼金术师
DEMON_TITLE,Demonios,Demons,Demônios,恶魔
DEMON_DESC,"Para describir a cualquier monstruo, se les llama ""Demonios"". Son criaturas peligrosas, sedientas de sangre. Atacan sin piedad y con poco razonamiento a cualquiera que se les cruce.","To describe any monster, they are called ""Demons"". They are dangerous, bloodthirsty creatures. They attack mercilessly and with little reasoning to anyone who crosses them.","Ao descrever qualquer monstro, eles são chamados “Demônios”. São criaturas perigosas e sedentas por sangue. Atacam de forma irracional e sem piedade a qualquer um que cruzam seu caminho. ",凡是怪物，一般统称为“恶魔”。它们危险而嗜血，几乎不讲理性，会毫不留情地攻击一切挡在面前的人。
