keys,es,en,pt_BR,zh_CN,fr
MAKE_FAST_ATKS,Haz ataques rápidos con el botón [Ataque].,Perform quick attacks with the [Attack] button.,Faz ataques rápidos com o botão de [Ataque],按下 [攻击] 按钮可发动快速攻击。,Effectuez des attaques rapides avec le bouton [Attaque].
EVADE_WITH_BACKDASH,Evade ataques enemigos con [Esquivar].,Avoid enemy attacks with [Dodge].,Desvia de ataques inimigos com [Recuar],使用 [闪避] 来躲开敌人的攻击。,Évitez les attaques ennemies avec [Esquiver].
USE_QUICKMENU,"Al mantener presionado el botón [Menú rápido] podrás cambiar sets de equipamiento presionando [Pág Prev] o [Pág Sig].

Será util cuando quieras usar diferentes aleaciones y circuitos para atacar las debilidades elementales de los enemigos.","By holding down the [Quick Menu] button, you can change equipment sets by pressing [Prev Pag] or [Next Pag].

It will be useful when you want to use different alloys and circuits to attack the elemental weaknesses of enemies.","Ao segurar o botão [Menu Rápido], você pode mudar o equipamento ao pressionar [Página Anterior] ou [Próxima Página]

Isso será útil quando você quer usar diferentes ligas e circuitos para atacar as fraquezas elementais dos inimigos.",按住 [快捷菜单] 按钮，再按 [上一页] 或 [下一页]，即可切换装备套装。\n\n当你想使用不同的合金与回路去针对敌人的元素弱点进行攻击时，这会非常有用。,"En maintenant le bouton [Menu rapide] enfoncé, vous pourrez changer de sets d'équipement en appuyant sur [Page Préc.] ou [Page Suiv.]. 

Cela sera utile lorsque vous voudrez utiliser différentes alliages et circuits pour cibler les faiblesses élémentaires des ennemis."
USE_QUICKMENU2,"Mantén presionado el botón y desliza hacia el set de equipamiento que quieras usar. (Requiere Circuito de habilidad).

Será util cuando quieras usar diferentes aleaciones y circuitos para atacar las debilidades elementales de los enemigos.","Hold down the button and slide to the equipment set you want to use (Requires Skill Circuit).

It will be useful when you want to use different alloys and circuits to attack the elemental weaknesses of enemies.","Segure o botão e passe ao equipamento que você deseja usar (Exige a Habilidade Circuito).

Isso será útil quando você quer usar diferentes ligas e circuitos para atacar as fraquezas elementais dos inimigos.",按住该按钮并滑向你想使用的装备套装（需要技能回路）。\n\n当你想使用不同的合金与回路去针对敌人的元素弱点进行攻击时，这会非常有用。,"Maintenez le bouton enfoncé et faites glisser vers le set d'équipement que vous souhaitez utiliser. (Nécessite un Circuit de compétence).

Cela sera utile lorsque vous voudrez utiliser différentes alliages et circuits pour attaquer les faiblesses élémentaires des ennemis."
USE_DODGE,"Al presionar [Esquivar] mientras estés caminando te permite rodar hacia adelante para esquivar enemigos.

Este movimiento otorga algunos frames de invulnerabilidad y gastará [Estamina].","Pressing [Dodge] while walking allows you to roll forward to dodge enemies.

This move grants some invulnerability frames and will use [Stamina].","Pressionando [Esquiva] enquanto caminha te permite rolar para se esquivar dos inimigos. 

Esse movimento garante breve invulnerabilidade e usa [Vigor].",步行时按下 [闪避]，即可向前翻滚来躲避敌人。\n\n这个动作会提供少许无敌时间，并消耗 [耐力]。,"En appuyant sur [Esquiver] pendant que vous marchez, vous pouvez rouler vers l'avant pour esquiver les ennemis. 

Ce mouvement offre quelques frames d'invulnérabilité et consommera de [l'Endurance]."
HOWTO_ABSORB,Mantén presionado ↑ cuando estés cerca de un [Circuito Elemental] para obtener nuevos ataques o habilidades.,Press and hold ↑ when near an [Elemental Circuit] to get new attacks or abilities.,Pressione e segure ↑ próximo de um [Circuito Elemental] para conseguir novos ataques e habilidades.,靠近一个 [元素回路] 时，按住 ↑ 可获得新的攻击或能力。,Maintenez ↑ enfoncé lorsque vous êtes près d'un [Circuit Élémentaire] pour obtenir de nouvelles attaques ou compétences.
HOWTO_EQUIP,"Presiona el botón [Pausa] para poder acceder al Inventario, Equipamiento y al sistema de Alquimia.","Press the [Pause] button to access the Inventory, Equipment, and Alchemy system.","Pressione o botão de [Pausa] para acessar o Inventário, Equipamento e o Sistema de Alquimia.",按下 [暂停] 按钮，可进入物品栏、装备与炼金术系统。,"Appuyez sur le bouton [Pause] pour accéder à l'Inventaire, l'Équipement et au système d'Alchimie."
HOWTO_HIDEMINIMAP,Presiona ↓ + [Backdash] para mostrar u ocultar el minimapa en tiempo real.,Press ↓ + [Backdash] to show or hide the minimap in real time.,Pressione ↓ + [Recuo] para mostrar ou esconder o mini-mapa em tempo real.,按下 ↓ + [后闪]，即可实时显示或隐藏小地图。,Appuyez sur ↓ + [Backdash] pour afficher ou masquer la mini-carte en temps réel.
HOWTO_OPEN_MAPMENU,"Desde el botón [Mapa] obtienes acceso al mapa general, lista de objetos clave, textos encontrados y otra información útil.","From the [Map] button, you get access to the overview map, list of key objects, found texts, and other useful information.","Do botão de [Mapa] você tem acesso ao mapa inteiro, lista de objetos chave, textos encontrados e outra informação útil.",按下 [地图] 按钮，可进入总览地图、关键物品列表、已发现文本以及其他实用信息。,"Depuis le bouton [Carte], vous obtenez accès à la carte générale, à la liste des objets clés, aux textes trouvés et à d'autres informations utiles."
HOWTO_CHARGE_CIRCUIT,"Cuando tengas equipado un Circuito Elemental de [Acción], mantén presionado el botón de [Circuito] durante el tiempo requerido para su uso.","When you have an Elemental Circuit [Action] equipped, keep the [Circuit] button pressed for the time required for its use.","Quando você tem um Circuito Elemental de [Ação] equipado, mantenha pressionado o botão de [Circuito] pelo tempo necessário de seu uso.",当你装备了动作类元素回路时，按住 [元素回路] 按钮达到所需时间后即可使用。,"Lorsque vous avez équipé un Circuit Élémentaire d'[Action], maintenez le bouton de [Circuit] enfoncé pendant le temps requis pour son utilisation."
